Product,Batch no.,PO,Line,Mill,RFT-ext.,RFT-Mill,Dosing,Suggestion Side feed,HT1,HT2,HT3,HT4,HT5,Screw speed,Torque,Outlet temp,Throughput ext.(kg/h),Feed,Sep.,Rotor,Air flow,Inlet temp.,Outlet temp.,FG. temp.,Throughput mill (kg/h)
MN232PB,3B14002010,P3B140109500,1,2,,/,0,,,,,,,,,,0,600,380,2800,98,,,,560
YN210PB,3B13359015,P3B140202600,3,4,/,,0,15,30,49,85,81,84,650,34,,197.6775587,600,1000,3000,65,,,,197.6775587
SZ311TH,3B13361003,P3B140301300,9,9,,,6,,35,50,81,,,500,41,,0,10,1450,3645,60,,,,0
Y5223PA,3B14009007,P3B140403600,3,4,/,,0,15,30,51,81,81,80,500,36,,0,300,300,1000,65,,,,
GA203PA,3B14011006,P3B140405100,10,12,,/,0,,,,,,,,,,0,500,1270,3000,65,,,,
M94127ANM,3B14004017,P3B140502000,2,3,,,0,,,,,,,,,,0,400,980,2800,65,,,,115
YA302V,3B14004019,P3B140600300,8,13,,,0,15,30,50,60,78,80,500,42,,462,10,840,3645,60,,,,16.64662906
M04170AN,3B14010019,P3B140601000,7,10,,,0,24,33,53,83,82,78,650,46,,0,600,390,3000,98,,,,0
R40188AN,3B13360003,P3B140202900,9,9,,/,11,,54,80,78,,,500,46,,0,10,1380,3645,60,,,,0
EI403TH,3B14004013,P3B140303400,8,13,/,/,0,23,30,50,61,78,80,650,47,,423.9912759,10,900,3645,60,,,,0
JD300TH,3B14007010,P3B140304300,8,13,,,0,,31,50,60,78,79,650,40,,0,10,920,3645,60,,,,0
SL824PB,3B14010002,P3B140305500,3,4,,/,0,,,,,,,,,,0,500,1000,3000,65,,,,0
PI05002AN,3B14012008,P3B140305900,7,10,/,/,0,26,31,52,83,81,85,650,51,,840,600,380,2800,98,,,,
P91223AN,3B14015007,P3B140306600,11,14,,/,0,,,,,,,,,,600,10,1120,3757,60,,,,400
E10001XN,3B14004022,P3B140401300,1,2,,,0,,,,,,,,,,1071.428571,600,300,2600,98,,,,549.1996143
M00046AN,3B14010012,P3B140404500,7,10,/,/,0,26,32,52,84,85,85,650,51,,690,600,390,3000,98,,,,600
EI403TH,3B14012020,P3B140405800,8,13,/,/,0,,,,,,,,,,340.9090909,10,900,3645,60,,,,
S70779TN,3B14009015,P3B140502600,8,13,,/,0,17,30,49,62,80,81,650,46,,0,10,1150,3645,60,,,,
M10092AN,3B14010014,P3B140503700,1,2,/,/,0,20,33,55,82,81,83,650,55,,1350,600,390,3000,98,,,,114.2857143
P91181DN,3B14012004,P3B140503900,10,12,,/,0,,,,,,,,,,360,400,900,2800,65,,,,0
P40151AN,3B14012006,P3B140601100,9,9,,,15,,55,81,81,,,500,47,,109.1074405,,,,,,,,1269.84127
S70840FN,3B14009017,P3B140700500,3,4,,/,0,15,31,49,76,83,79,650,30,,92.41959638,500,870,2800,65,,,,92.41959638
P91223AN,3B13348020,P3B140104900,11,14,/,,0,15,30,50,80,80,80,500,52,,863.5065677,10,1130,3757,60,,,,311.6666667
M94014AN,3B13355025,P3B140108100,2,3,,,0,22,30,50,79,100,100,650,43,,1000,,,,,,,,450
JI103TH,3B14008023,P3B140204800,2,3,,/,0,20,30,49,78,80,80,650,51,,10.49154847,400,1120,2800,65,,,,10.49154847
M94208CN,3B14008025,P3B140205000,10,12,,,0,,,,,,,,,,0,400,930,2800,65,,,,
JI403TH,3B14007009,P3B140304200,8,13,,,0,25,31,50,60,83,79,650,46,,329.0261582,10,1000,3645,60,,,,0
M24004AN,3B14008028,P3B140305200,9,9,,/,15,,55,80,79,,,500,46,,198.101527,,,,,,,,
S2301PIBD,3B14004004,P3B140400900,8,13,,/,0,,,,,,,,,,334.7421809,10,1290,3645,60,,,,334.7421809
GI104TH,3B14008019,P3B140403000,3,4,/,/,0,15,30,54,80,85,80,650,35,,0,,,,,,,,
LA103TH,3B14015008,P3B140406100,7,10,,/,0,18,31,53,83,82,80,650,54,,,600,360,2800,98,,,,740
ED100TH,3B14010007,P3B140503300,10,12,,,13,100,,60,,,,300,50,,0,400,1150,2800,65,,,,0
GZ301TH,3B14012007,P3B140504000,8,13,,/,12,,29,49,60,83,82,500,48,,228.5714286,10,1040,3645,60,,,,0
GI204PA,3B14015015,P3B140504700,3,4,/,/,0,12,30,48,78,75,83,500,30,,0,,,,,,,,
R10084CN,3B14016001,P3B140504900,1,2,,/,0,9,33,55,83,82,84,500,49,,1090.062112,,,,,,,,301.1029412
S00822BN,3B14016026,P3B140506500,7,10,/,/,0,26,31,51,82,81,80,650,51,,0,600,390,3000,98,,,,219.8571429
SL824PA,3B14010001,P3B140305400,3,4,/,/,0,10,30,50,80,82,84,650,24,,327.2727273,,,,,,,,25.61973669
JA002TH,3B14011002,P3B140305700,7,10,,,0,20,32,52,81,80,80,650,52,,1114.452503,600,380,2800,98,,,,0
EM000TH,3B14009019,P3B140404100,9,9,,/,18,,55,81,79,,,500,46,,1275.362319,,,,,,,,0
P00181AN,3B14011003,P3B140404800,7,10,,/,0,14,33,51,84,,,,,,787.5,600,400,3000,98,,,,720
M10065TN,3B14012003,P3B140405400,3,4,,/,0,20,30,50,60,84,78,650,32,,0,400,1050,2800,65,,,,0
EP114V,3B14015001,P3B140405900,10,12,,/,15,100,,60,,,,300,55,,427.5,500,1200,2800,65,,,,308.57
S91442AN,3B14016018,P3B140406600,1,2,,/,0,16,32,55,83,82,81,650,47,,1118.78453,600,380,2800,98,,,,1880
YM207PB,3B14017008,P3B140406900,3,4,/,,0,15,30,49,78,84,80,500,34,,,,,,,,,,
P70710XN,3B14002004,P3B140501600,9,9,,/,9,,35,55,78,,,500,46,,0,,,,,,,,
SN213PA,3B14012017,P3B140504100,3,4,/,/,0,15,30,50,81,80,81,650,32,,0,,,,,,,,
SI234PB,3B14015014,P3B140504600,10,12,/,/,0,,,,,,,,,,504,500,1000,3000,65,,,,0
R70939XN,3B14016011,P3B140505800,9,9,,,15,,36,55,81,,,500,46,,116.91927,,,,,,,,
M91429AN,3B14012011,P3B140601300,11,14,,,0,15,30,50,80,100,100,500,49,,744.6808511,10,1120,3757,60,,,,500.7650577
M10080AN,3B14016021,P3B140601700,1,2,,/,0,,,,,,,,,,0,600,360,3000,98,,,,696
E5202PI,3B14016022,P3B140306800,10,12,,,12,100,,60,,,,300,40,,1603.960396,500,1030,2800,65,,,,0
YA215PA,3B14016024,P3B140306900,8,13,/,,13,,30,50,79,81,82,650,49,,0,,,,,,,,0
P00006IN,3B14018026,P3B140307600,8,13,,/,0,,,,,,,,,,225,10,1230,3645,60,,,,225
ALZ44TH,3B14009024,P3B140404300,10,12,/,,10,80,,60,,,,300,55,,0,,,,,,,,0
YN204PA,3B14012013,P3B140405600,1,2,/,/,0,12,33,54,82,81,84,650,49,,631.06,,,,,,,,506.25
JA004TH,3B14016016,P3B140406500,7,10,,/,0,23,31,51,82,80,78,650,52,,1252.498334,,,,,,,,0
R91323AN,3B14016002,P3B140505000,11,14,,/,0,20,30,51,81,82,80,650,54,,0,10,1110,3757,60,,,,535.38
R60631XN,3B14016009,P3B140505600,2,4,/,,0,20,30,50,80,83,80,500,39,,0,300,920,2700,65,,,,0
P90097BN,3B14012010,P3B140601200,10,12,/,/,20,110,,100,,,,400,50,,426.035503,500,1150,2800,65,,,,250.9335325
M10087BN,3B14018024,P3B140602800,1,2,,/,0,15,32,54,85,82,82,650,53,,1771.812081,500,240,2800,98,,,,600
M90051WN,3B13355010,P3B140107400,2,3,/,/,0,,,,,,,,,,639.3234672,500,680,2800,65,,,,0
P10152WN,3B14015009,P3B140206200,1,2,,/,0,14,34,54,65,84,84,650,47,,236.7642223,,,,,,,,610.619469
EI100TH,3B14008012,P3B140402700,10,12,,/,13,100,,60,,,,300,49,,460,500,1150,2800,65,,,,0
J5004PIBD,3B14015021,P3B140406400,11,14,/,,0,,,,,,,,,,754,10,1150,3757,60,,,,408
S91317WN,3B14007016,P3B140502500,2,3,,/,0,,,,,,,,,,1539.401344,,,,,,,,0
MN303TH,3B14009022,P3B140205600,1,2,,/,0,,,,,,,,,,,500,450,2800,98,,,,528
S5232PB,3B14018004,P3B140307300,11,14,/,,0,12,30,50,81,82,80,650,50,,747.6145931,,,,,,,,
GD200PB,3B14018032,P3B140407600,10,12,/,/,0,,,,,,,,,,98.58512095,400,1150,3000,65,,,,0
M5307PI,3B14010003,P3B140503200,2,3,,/,0,15,30,49,59,82,80,650,36,,0,,,,,,,,54.58680819
Y2100PIBD,3B14016023,P3B140506400,11,14,/,/,0,12,30,51,80,81,81,650,55,,231.4,,,,,,,,
P70797DN,3B14018010,P3B140602400,10,12,/,/,0,,,,,,,,,,230.7049317,500,850,2950,65,,,,0
PI10154AN,3B14019027,P3B140604100,1,2,,/,0,18,33,55,83,84,84,650,52,,1051.2,600,390,2800,98,,,,680
M10103TN,3B14019030,P3B140604300,1,2,,/,0,,,,,,,,,,0,300,450,3000,98,,,,360
P18011DN,3B14008024,P3B140204900,1,2,/,/,0,9,30,50,82,81,84,650,39,,630,600,370,2800,98,,,,600
P10125IN,3B14018021,P3B140307400,1,2,/,,0,,,,,,,,,,,600,280,2400,98,,,,114.9411035
S91511FN,3B14008011,P3B140402600,11,12,/,,0,,,,,,,,,,0,10,1190,3757,60,,,,110.2259215
M90544WN,3B14009016,P3B140404000,3,4,,,0,20,30,51,65,81,78,650,31,,0,500,820,2800,65,,,,0
P70798IN,3B14018022,P3B140407400,3,4,/,,0,20,30,51,84,85,85,500,48,,,,,,,,,,
GD200PA,3B14018031,P3B140407500,10,12,,,0,,,,,,,,,,52.5,400,1150,3000,65,,,,
GI215PA,3B14018033,P3B140407700,3,4,/,/,0,25,30,55,75,80,80,650,46,,390,,,,,,,,
Y5251PA,3B14020001,P3B140408000,10,12,,/,0,,,,,,,,,,0,400,1250,3000,65,,,,0
Y5251PB,3B14020002,P3B140408100,10,12,,/,0,,,,,,,,,,31.84973459,400,1250,3000,65,,,,
P91421WN,3B14019001,P3B140508000,3,4,,/,0,40,30,49,59,80,79,650,47,,0,400,850,2800,65,,,,0
P98029AN,3B14008009,P3B140600400,11,14,/,,0,10,30,51,81,82,80,500,55,,524.6939285,8,1250,3757,60,,,,0
P70799IN,3B14018023,P3B140602700,3,4,,,0,20,31,55,80,80,79,500,46,,0,,,,,,,,113.304721
P91293AN,3B14010013,P3B140404600,2,3,,/,0,14,30,50,80,80,100,500,44,,0,600,1020,2800,65,,,,44.44444444
S91433TN,3B14012005,P3B140405500,3,4,,/,0,,,,,,,,,,,500,1130,2800,65,,,,250.2350571
S91506FN,3B14018012,P3B140507500,2,3,/,/,0,10,32,49,84,84,80,650,26,,0,600,1150,2800,65,,,,121.4984813
P00318AN,3B14019006,P3B140508300,7,10,/,,0,,,,,,,,,,,500,400,3000,98,,,,
R91463BN,3B14019010,P3B140508600,11,14,,/,0,,,,,,,,,,,10,1300,3757,60,,,,111.8346377
S00331AN,3B14019012,P3B140508700,7,10,/,/,0,,,,,,,,,,855,600,380,3000,98,,,,810
M5202PA,3B14018014,P3B140602500,3,4,/,/,0,25,30,47,81,84,81,650,47,,0,500,1000,2700,65,,,,30.24355807
M10136AN,3B14023018,P3B140605600,1,2,,/,0,18,34,54,84,100,102,500,58,,948.7554905,600,330,3000,98,,,,368.1818182
P10001DN,3B14024008,P3B140606400,1,2,/,/,0,,,,,,,,,,,600,320,240,98,,,,624.7559547
GN212PA,3B14024005,P3B140701000,3,4,/,,0,20,30,50,81,80,80,650,39,,0,,,,,,,,0
GI215PB,3B14018034,P3B140800300,3,4,/,,0,,,,,,,,,,0,,,,,,,,0
Y2309PIBD,3B14017010,P3B140407000,1,2,,,0,11,31,51,61,80,93,500,46,,372.968349,600,230,3000,98,,,,0
SZ310TH,3B14016015,P3B140506200,9,9,,/,0,,,,,,,,,,0,5,1730,3645,60,,,,0
